City	Address	Floor Area	Lot Area	IMG	Price
Bukidnon	"Lots 4324-C-4 & 4324-D-2 Block 20, Brgy. Kauswagan,  Cagayan de Oro, Misamis Oriental (Title with Annotation of Lis Pendens / Pending possession)"	990		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"3,465,000"
Bulacan	"Baliuag, Candaba Road (B.S. Aquino Ave., Ext), Brgy. San Roque, Baliuag, Bulacan"	14919	928	"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"18,942,480"
Bulacan	"Bgy. San Roque, San Rafael, Bulacan"	35366		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"30,760,503"
Bulacan	"Brgys. of Sto. Cristo & Kaybanban, San Jose Del Monte, Bulacan"	851488		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"227,347,300"
Bulacan	"El Camino Real Extension, Ciudad Industria, Brgy. Bagbagin and Bahay-Pari, Meycauayan City, Bulacan (inclusive of machineries and equipment)"	62237.5	8006	"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"250,000,000"
Bulacan	"Lot 12, Amethyst St., Citation Homes, Meycauayan City, Bulacan"	150	126	"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"1,905,360"
Bulacan	"Lot 13 Block 22, Ph. 4, Town & Country North Subdivision, Marilao, Bulacan"	130		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"325,000"
Bulacan	"Lot 15 Block 22, Ph. 4, Town & Country North Subdivision, Marilao, Bulacan"	130		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"325,000"
Bulacan	"Lot 17 Block 22, Ph. 4, Town & Country North Subdivision, Marilao, Bulacan"	130		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"325,000"
Bulacan	"Lot 1845-A-6, Interior of National Road, Brgy. Salangan, San Miguel, Bulacan"	492		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"246,000"
